time,well_I1_BHP,well_I1_BHT,well_I1_perf_0_molar_rate_G,well_I1_perf_0_molar_rate_L,well_I1_molar_rate_G_by_sum_perfs,well_I1_molar_rate_L_by_sum_perfs,well_I1_molar_rate_G_at_wh,well_I1_molar_rate_L_at_wh,well_I1_perf_0_mass_rate_G,well_I1_perf_0_mass_rate_L,well_I1_mass_rate_G_by_sum_perfs,well_I1_mass_rate_L_by_sum_perfs,well_I1_mass_rate_G_at_wh,well_I1_mass_rate_L_at_wh,well_I1_perf_0_volumetric_rate_G,well_I1_perf_0_volumetric_rate_L,well_I1_volumetric_rate_G_by_sum_perfs,well_I1_volumetric_rate_L_by_sum_perfs,well_I1_volumetric_rate_G_at_wh,well_I1_volumetric_rate_L_at_wh,well_I1_perf_0_molar_rate_CO2,well_I1_perf_0_molar_rate_H2O,well_I1_molar_rate_CO2_by_sum_perfs,well_I1_molar_rate_H2O_by_sum_perfs,well_I1_molar_rate_CO2_at_wh,well_I1_molar_rate_H2O_at_wh,well_I1_perf_0_mass_rate_CO2,well_I1_perf_0_mass_rate_H2O,well_I1_mass_rate_CO2_by_sum_perfs,well_I1_mass_rate_H2O_by_sum_perfs,well_I1_mass_rate_CO2_at_wh,well_I1_mass_rate_H2O_at_wh,well_I1_perf_0_advective_heat_rate_G,well_I1_perf_0_advective_heat_rate_L,well_I1_advective_heat_rate_G_by_sum_perfs,well_I1_advective_heat_rate_L_by_sum_perfs,well_I1_advective_heat_rate_G_at_wh,well_I1_advective_heat_rate_L_at_wh
0.001,201.26230334875441,313.15000000000003,2270.617362987834,0.0,2270.617362987834,0.0,2272.210858252771,0.0,99929.86365447151,0.0,99929.86365447151,0.0,99999.99337655398,0.0,120.53695634342768,0.0,120.53695634342768,0.0,120.44204771244227,0.0,2270.6246352134744,0.00025116425046709743,2270.6246352134744,0.00025116425046709743,2272.2612807838336,0.0002513424189712669,99930.190195745,0.004524723972164761,99930.190195745,0.004524723972164761,100002.21896729652,0.004527933677767373,-23136548.038176756,0.0,-23136548.038176756,0.0,-23198701.910854414,0.0
0.003,201.9437775745889,313.15000000000003,2271.328379967562,0.0,2271.328379967562,0.0,2272.210859124755,0.0,99961.15550964768,0.0,99961.15550964768,0.0,99999.99341487123,0.0,120.51158818007842,0.0,120.51158818007842,0.0,120.31451455545614,0.0,2271.351877376181,0.00025124104390288396,2271.351877376181,0.00025124104390288396,2272.2638265077603,0.00025133807706123195,99962.19612332572,0.004526107405910455,99962.19612332572,0.004526107405910455,100002.33100460652,0.004527855458258094,-23139286.70033389,0.0,-23139286.70033389,0.0,-23210629.982218236,0.0
0.007,202.25026914754636,313.15000000000003,2271.8387571305134,0.0,2271.8387571305134,0.0,2272.210284926779,0.0,99983.61720710382,0.0,99983.61720710382,0.0,99999.9681443936,0.0,120.48272007685651,0.0,120.48272007685651,0.0,120.2575926167602,0.0,2271.865442993851,0.0002512957989594997,2271.865442993851,0.0002512957989594997,2272.2659333271386,0.0002513362504619271,99984.79814615937,0.004527093818255387,99984.79814615937,0.004527093818255387,100002.42372572736,0.004527822552071617,-23149477.054771908,0.0,-23149477.054771908,0.0,-23215940.980434068,0.0
0.015,202.36112953273147,313.15000000000003,2272.1360060695115,0.0,2272.1360060695115,0.0,2272.2107839998757,0.0,99996.69913205144,0.0,99996.69913205144,0.0,99999.99010858963,0.0,120.46868734801454,0.0,120.46868734801454,0.0,120.2370268219206,0.0,2272.1607895502775,0.0002513275814824934,2272.1607895502775,0.0002513275814824934,2272.2668848355747,0.00025133561120403535,99997.79634810772,0.004527666380407119,99997.79634810772,0.004527666380407119,100002.46560161364,0.004527811035840697,-23156726.18941349,0.0,-23156726.18941349,0.0,-23217870.548101917,0.0
0.031,202.41142906603628,313.15000000000003,2272.2200883984165,0.0,2272.2200883984165,0.0,2272.2108435378814,0.0,100000.39959510247,0.0,100000.39959510247,0.0,99999.99272885277,0.0,120.46021635671198,0.0,120.46021635671198,0.0,120.2276844118138,0.0,2272.2440605698066,0.000251336399185852,2272.2440605698066,0.000251336399185852,2272.267058941412,0.000251335292748903,100001.4611056772,0.004527825231333124,100001.4611056772,0.004527825231333124,100002.47326401154,0.004527805298871488,-23159348.932256725,0.0,-23159348.932256725,0.0,-23218744.556564383,0.0
0.063,202.4392013567557,313.15000000000003,2272.237767339329,0.0,2272.237767339329,0.0,2272.2108546639906,0.0,100001.1776452393,0.0,100001.1776452393,0.0,99999.99321851043,0.0,120.45482718180106,0.0,120.45482718180106,0.0,120.22252429886484,0.0,2272.2614842334738,0.0002513381217665092,2272.2614842334738,0.0002513381217665092,2272.267109054802,0.00025133511185015424,100002.22792111519,0.004527856263623663,100002.22792111519,0.004527856263623663,100002.47546950185,0.004527802039980529,-23160298.660623852,0.0,-23160298.660623852,0.0,-23219226.969551668,0.0
0.127,202.45448279455962,313.15000000000003,2272.2419575357844,0.0,2272.2419575357844,0.0,2272.2108577427557,0.0,100001.36205577219,0.0,100001.36205577219,0.0,99999.99335400555,0.0,120.4512375087904,0.0,120.4512375087904,0.0,120.219684634291,0.0,2272.2654363125444,0.00025133844129493466,2272.2654363125444,0.00025133844129493466,2272.267126220485,0.00025133501116915977,100002.40185211506,0.004527862019928249,100002.40185211506,0.004527862019928249,100002.47622496355,0.004527800226212414,-23160848.49378325,0.0,-23160848.49378325,0.0,-23219492.400347468,0.0
0.255,203.61572642639425,313.15000000000003,2272.194903978025,0.0,2272.194903978025,0.0,2272.2108573255855,0.0,99999.29122873055,0.0,99999.29122873055,0.0,99999.99333554592,0.0,120.23025429233034,0.0,120.23025429233034,0.0,120.00400736870019,0.0,2272.208925629738,0.00025132435879823833,2272.208925629738,0.00025132435879823833,2272.2576652727075,0.00025132619959251863,99999.91481696477,0.004527608323750263,99999.91481696477,0.004527608323750263,100002.05984865186,0.0045276414856592236,-23180915.368537378,0.0,-23180915.368537378,0.0,-23239644.572696105,0.0
0.511,204.8925829180895,313.15000000000003,2272.217826297139,0.0,2272.217826297139,0.0,2272.210832195532,0.0,100000.30003982218,0.0,100000.30003982218,0.0,99999.99222946362,0.0,119.99098414868278,0.0,119.99098414868278,0.0,119.77170130093754,0.0,2272.2372418220625,0.00025131900599800907,2272.2372418220625,0.00025131900599800907,2272.264261082343,0.00025131859237198295,100001.16101258897,0.004527511893054133,100001.16101258897,0.004527511893054133,100002.35013023394,0.004527504441581273,-23204559.916139536,0.0,-23204559.916139536,0.0,-23261305.087122884,0.0
1.0230000000000001,204.7135637475531,313.15000000000003,2272.249316951847,0.0,2272.249316951847,0.0,2272.2106670065873,0.0,100001.68594346305,0.0,100001.68594346305,0.0,99999.9849595139,0.0,120.01320892230899,0.0,120.01320892230899,0.0,119.80432070374859,0.0,2272.2664506426513,0.0002513232267444095,2272.2664506426513,0.0002513232267444095,2272.2653029653375,0.00025131987449760764,100002.44649278308,0.0045275879298005365,100002.44649278308,0.0045275879298005365,100002.3959835045,0.004527527539074401,-23204972.68529325,0.0,-23204972.68529325,0.0,-23258261.055892106,0.0
