# WELL TRACE FROM PETREL
# WELL NAME: DEL-GT-02-S2
# WELL HEAD X-COORDINATE: 85099.827 (m)
# WELL HEAD Y-COORDINATE: 446162.627 (m)
#====================================================
MD	X	Y	Z
#====================================================
0	85099.8270000002	446162.626999995	-7.46
80.5	85099.8270000002	446162.626999995	73.04
85.85	85099.8196284955	446162.630522343	78.3899916817272
91.2	85099.7975140501	446162.641089348	83.7399334539103
95.6	85099.7739948944	446162.653545175	88.1398529062074
100	85099.7519375347	446162.667737712	92.5397746705368
104.55	85099.7305066851	446162.684353777	97.0896937956737
109.1	85099.7103211364	446162.7030533	101.639610529959
122.85	85099.6519154469	446162.754536174	115.38938925942
136.6	85099.594935719	446162.789669472	129.13922547563
150.5	85099.5407085034	446162.815438837	143.039095684848
164.4	85099.4917879407	446162.83824176	156.938990769816
178.3	85099.4413947666	446162.862172268	170.838878522435
192.2	85099.3827497275	446162.891324384	184.73872393337
206.1	85099.3248643661	446162.919144258	198.638575072889
220	85099.2767502366	446162.939078022	212.538477022442
225.5	85099.2592023739	446162.94618979	218.038444402472
231	85099.2407683912	446162.954870566	223.538406630672
239.4	85099.2112179966	446162.970999669	231.938339093693
247.8	85099.1802275996	446162.990474842	240.338259274576
261.7	85099.1297410222	446163.021538401	254.238132628949
275.6	85099.0832276147	446163.04473857	268.138035199099
289.45	85099.0354710596	446163.065231381	281.987937532366
303.3	85098.9809346992	446163.088311492	295.837810754948
317.15	85098.9210539113	446163.117883793	309.687649344203
331	85098.8572640908	446163.157853186	323.537444372978
344.95	85098.7935848146	446163.204606197	337.487220560194
358.9	85098.7349850159	446163.253877119	351.437010345461
367.95	85098.6974394134	446163.288854568	360.486864737541
377	85098.6575400347	446163.328224842	369.536691010553
381.85	85098.6352273006	446163.351093982	374.386585738679
386.7	85098.6123155913	446163.375149265	379.236471934916
400.55	85098.5484268145	446163.434713788	393.086194979322
414.4	85098.4893276295	446163.472632113	406.936015480961
420.7	85098.4636984553	446163.485823964	413.235949509239
427	85098.4383975516	446163.500749731	419.535880994733
434.6	85098.4084946953	446163.520949095	427.135795280393
442.2	85098.3794335679	446163.543444093	434.735706382813
456.1	85098.3154447644	446163.584231779	448.635497538772
470	85098.228241553	446163.620111855	462.535175960357
483.9	85098.1343003599	446163.669699932	476.434766592086
497.8	85098.0500978128	446163.751611464	490.334266719173
506.4	85097.9998250521	446163.805316877	498.933951076398
515	85097.9471743815	446163.845076357	507.533696996119
520.25	85097.9137086746	446163.862585421	512.783560908072
525.5	85097.8790459447	446163.875082588	518.03343137686
