time,water,hydrate,gas
0.12,183.4116868,0.301736124,21.49996406
0.24,183.4117032,0.308254986,21.47681982
0.36,183.4117033,0.308255793,21.43777985
0.48,183.4032403,0.646991963,21.35498304
0.6,182.5288226,1.202337485,21.28400268
0.72,181.1410974,2.922289173,21.04053804
0.84,178.8984912,5.756887705,20.74381812
0.96,175.7003745,9.561139267,20.32983637
1.08,171.3797745,14.00901921,19.72334865
1.2,166.891539,19.54719346,19.05815175
1.32,160.458353,26.69044156,18.18437834
1.44,152.9061544,35.46915749,17.05616245
1.56,144.9556127,44.62308777,15.96568611
1.68,136.2694444,54.44997317,14.7410661
1.8,127.8712064,63.76871522,13.54453788
1.92,120.197821,72.79511085,12.42209472
2.04,112.8649651,80.99656508,11.39237777
2.16,106.4565332,88.61484177,10.43693187
2.28,101.0649644,94.44369567,9.694945128
2.4,96.1018854,99.90333571,8.975209697
2.52,91.87142336,105.1002887,8.380467193
2.64,87.99640628,108.9763468,7.852333989
2.76,85.35982462,112.5198339,7.433540279
2.88,82.5921246,115.6383027,7.015962828
3,80.32343958,118.1482302,6.711484946
3.12,78.3637725,120.5539724,6.40438429
3.24,76.66690775,122.3474366,6.156371085
3.36,75.32380184,123.9853059,6.016541209
3.48,73.99248978,125.4625515,5.774448667
3.6,72.70630387,126.6613775,5.623780296
3.72,71.80340187,127.9159599,5.507519485
3.84,71.18149891,128.5662348,5.388251642
3.96,70.61849342,129.1276947,5.31122117
4.08,69.9653334,129.775468,5.233638509
4.2,69.6000133,130.3908233,5.15576442
4.32,69.39059709,131.0335758,5.116263436
4.44,68.74071691,131.3166219,5.078378234
4.56,68.43243035,131.62504,5.000842107
4.68,68.46232805,131.8657582,5.000919954
4.8,68.12434638,132.2413867,4.972298661
4.92,68.12435851,132.2413795,4.923389592
5.04,67.8179912,132.2236385,4.923386249
5.16,67.50767836,132.5496351,4.923389869
5.28,67.50783699,132.5494636,4.845911462
5.4,67.50783699,132.8579122,4.845852607
5.52,67.50783699,132.8578892,4.845852607
5.64,67.50783699,132.8578892,4.845852607
5.76,67.50783699,132.8578902,4.845852607
5.88,67.50783699,133.1956345,4.84585296
