time,p
0.12,9.526506278
0.24,9.443500028
0.36,9.349000996
0.48,9.240755641
0.6,9.123710713
0.72,8.990360572
0.84,8.866798621
0.96,8.720317159
1.08,8.542247013
1.2,8.329880137
1.32,8.06002266
1.44,7.747242713
1.56,7.392813363
1.68,7.018913301
1.8,6.629695193
1.92,6.231497158
2.04,5.852472547
2.16,5.495802963
2.28,5.197715839
2.4,4.913315572
2.52,4.647175709
2.64,4.413410517
2.76,4.230604674
2.88,4.064618056
3,3.91428479
3.12,3.768363792
3.24,3.655031275
3.36,3.553337949
3.48,3.461442314
3.6,3.382986168
3.72,3.326102272
3.84,3.266442158
3.96,3.218889654
4.08,3.180668594
4.2,3.149376758
4.32,3.111895287
4.44,3.093266155
4.56,3.08380175
4.68,3.055154456
4.8,3.03610967
4.92,3.01676951
5.04,3.006911501
5.16,3.006911501
5.28,3.006979041
5.4,2.997262892
5.52,2.987190787
5.64,2.987614276
5.76,2.987614275
5.88,2.987614275
