time,temperature
0.12,287.2452895
0.24,285.5577164
0.36,283.6002122
0.48,281.6512346
0.6,279.7835888
0.72,278.1789951
0.84,277.2793876
0.96,277.1244856
1.08,276.4886249
1.2,276.5152718
1.32,276.8070378
1.44,276.8415638
1.56,276.9437989
1.68,277.0877912
1.8,277.3755243
1.92,277.2530864
2.04,277.2442853
2.16,277.146132
2.28,276.991196
2.4,276.7901235
2.52,276.5967614
2.64,276.2856093
2.76,276.2577185
2.88,276.0185185
3,275.8075683
3.12,275.630208
3.24,275.5525486
3.36,275.4398148
3.48,275.2043977
3.6,275.2124625
3.72,275.0926173
3.84,275.0154321
3.96,274.9308777
4.08,274.8946946
4.2,274.8605396
4.32,274.7453704
4.44,274.7879352
4.56,274.7065272
4.68,274.6682497
4.8,274.6682099
4.92,274.6682468
5.04,274.6691755
5.16,274.6311878
5.28,274.6296296
5.4,274.6296297
5.52,274.6296296
