time,tmid,tbot,tcap,ttop
2,7.242575825,6.584614671,1.975005255,7.242575825
4,7.572398659,6.366060457,2.401787956,7.572398659
6,7.499515147,5.8542884,2.511887776,7.499515147
8,7.317272102,5.306505475,2.52413711,7.317272102
10,7.049482955,4.793904875,2.48811377,7.049482955
12,6.733304318,4.319066699,2.426760279,6.733304318
14,6.354791934,3.892322024,2.329856887,6.354791934
16,5.928859591,3.539083033,2.244533056,5.928859591
18,5.527936381,3.234105219,2.146753198,5.527936381
20,5.088229982,2.953063777,2.037604271,5.088229982
22,4.710383726,2.721799815,1.952013677,4.710383726
24,4.321696499,2.526160096,1.854710864,4.321696499
26,4.002610936,2.355758668,1.768437261,4.002610936
28,3.698816214,2.208046182,1.694465904,3.698816214
30,3.430627591,2.0876608,1.634528128,3.430627591
32,3.197314426,1.987718539,1.573674788,3.197314426
34,2.991916516,1.892105506,1.525773246,2.991916516
36,2.8187382,1.817181162,1.462883218,2.8187382
38,2.647711005,1.744395691,1.426546663,2.647711005
40,2.525088338,1.69523436,1.39104566,2.525088338
42,2.405136576,1.633251543,1.353229527,2.405136576
44,2.29427605,1.597928962,1.33011277,2.29427605
46,2.208763316,1.550018387,1.304824886,2.208763316
48,2.112609764,1.524191983,1.280454204,2.112609764
50,2.039512718,1.489312138,1.257624701,2.039512718
52,1.989668171,1.46439797,1.244785878,1.989668171
54,1.915937717,1.438760115,1.231682359,1.915937717
56,1.867512547,1.414285277,1.20718006,1.867512547
58,1.818468716,1.390085751,1.208262619,1.818468716
60,1.78084146,1.379371677,1.195099523,1.78084146
62,1.743736584,1.353693527,1.183912098,1.743736584
64,1.69664804,1.341317862,1.17071403,1.69664804
66,1.670250306,1.319222416,1.158437819,1.670250306
68,1.645298441,1.307154364,1.158439233,1.645298441
70,1.620896217,1.304460344,1.146418228,1.620896217
72,1.597388452,1.282937505,1.134006848,1.597388452
74,1.573254393,1.280467161,1.134052578,1.573254393
76,1.551354071,1.268184382,1.134058764,1.551354071
78,1.523583626,1.269377068,1.121808644,1.523583626
80,1.51619791,1.243813042,1.121856773,1.51619791
82,1.5011121,1.243468459,1.109860347,1.5011121
84,1.474743861,1.231606402,1.10966439,1.474743861
86,1.464494393,1.222581904,1.110920296,1.464494393
88,1.451106232,1.219411922,1.097469947,1.451106232
90,1.425848321,1.206412051,1.097470238,1.425848321
92,1.427992216,1.207215472,1.097470238,1.427992216
94,1.41142848,1.19524856,1.097470238,1.41142848
96,1.403615318,1.195023154,1.097470272,1.403615318
98,1.381653162,1.195029841,1.098768186,1.381653162
100,1.37793546,1.182858354,1.085275793,1.37793546
102,1.366135649,1.170630222,1.085276124,1.366135649
104,1.353546261,1.170634921,1.085275995,1.353546261
106,1.353640783,1.170634791,1.077174529,1.353640783
108,1.340995672,1.162627704,1.073082106,1.340995672
110,1.329277582,1.158440904,1.073082011,1.329277582
112,1.317204542,1.158440809,1.073082011,1.317204542
114,1.305040725,1.15853518,1.07308201,1.305040725
116,1.304770179,1.146241408,1.07305674,1.304770179
118,1.304768475,1.146246693,1.060907913,1.304768475
